Rank,Country,Score,GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Generosity,Perceptions_Of_Corruption,Residual
37,Colombia,6.260,0.960,1.439,0.635,0.531,0.099,0.039,2.596
38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2.167
39,Slovakia,6.173,1.210,1.537,0.776,0.354,0.118,0.014,2.178
40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2.965
41,Nicaragua,6.141,0.668,1.319,0.700,0.527,0.208,0.128,2.719
42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2.064
43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1.866
44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2.136
45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,1.912
46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,1.931
47,Italy,6.000,1.264,1.501,0.946,0.281,0.137,0.028,1.871
48,Ecuador,5.973,0.889,1.330,0.736,0.556,0.114,0.120,2.348
49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2.798
50,Lithuania,5.952,1.197,1.527,0.716,0.350,0.026,0.006,2.136
51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.160,0.051,1.574
52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2.268
53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2.205
54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.150,1.539
55,Mauritius,5.891,1.090,1.387,0.684,0.584,0.245,0.050,1.901
56,Jamaica,5.890,0.819,1.493,0.693,0.575,0.096,0.031,2.214
57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2.031
58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,1.812
59,Russia,5.810,1.151,1.479,0.599,0.399,0.065,0.025,2.117
60,Kazakhstan,5.790,1.143,1.516,0.631,0.454,0.148,0.121,1.898
61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,1.808
62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2.523
63,Estonia,5.739,1.200,1.532,0.737,0.553,0.086,0.174,1.631
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2.006
65,Peru,5.663,0.934,1.249,0.674,0.530,0.092,0.034,2.184
66,Kosovo,5.662,0.855,1.230,0.578,0.448,0.274,0.023,2.277
67,Moldova,5.640,0.657,1.301,0.620,0.232,0.171,0.000,2.659
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,1.954
69,Hungary,5.620,1.171,1.401,0.732,0.259,0.061,0.022,1.996
70,Libya,5.566,0.985,1.350,0.553,0.496,0.116,0.148,2.066
71,Philippines,5.524,0.775,1.312,0.513,0.643,0.120,0.105,2.161
72,Honduras,5.504,0.620,1.205,0.622,0.459,0.197,0.074,2.401
73,Belarus,5.483,1.039,1.498,0.700,0.307,0.101,0.154,1.838
74,Turkey,5.483,1.148,1.380,0.686,0.324,0.106,0.109,1.839
75,Pakistan,5.472,0.652,0.810,0.424,0.334,0.216,0.113,3.036
76,Hong Kong,5.430,1.405,1.290,1.030,0.524,0.246,0.291,0.935
77,Portugal,5.410,1.188,1.429,0.884,0.562,0.055,0.017,1.292
78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,1.947
79,Greece,5.358,1.154,1.202,0.879,0.131,0.000,0.044,1.992
80,Tajikistan,5.358,0.474,1.179,0.598,0.503,0.214,0.136,2.390
81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,1.952
82,Croatia,5.321,1.115,1.161,0.737,0.380,0.120,0.039,1.808
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.120,0.106,1.567
84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2.343
85,Morocco,5.254,0.779,0.797,0.669,0.460,0.026,0.074,2.523
86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,1.690
87,Azerbaijan,5.201,1.024,1.161,0.603,0.430,0.031,0.176,1.952
88,Lebanon,5.199,0.965,1.166,0.785,0.292,0.187,0.034,1.804
89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,1.729
90,Jordan,5.161,0.822,1.265,0.645,0.468,0.130,0.134,1.831
91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2.583
92,Kyrgyzstan,5.131,0.530,1.416,0.594,0.540,0.281,0.035,1.770
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.280,0.216,0.000,1.882
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,1.471
95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,1.526
96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,1.435
97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,1.519
98,Somalia,4.982,0.000,0.712,0.115,0.674,0.238,0.282,3.243
99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2.730
100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,1.229
101,Nepal,4.880,0.425,1.228,0.539,0.526,0.302,0.078,1.860
102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,1.495
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,1.766
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,1.930
105,South Africa,4.724,0.940,1.410,0.330,0.516,0.103,0.056,1.425
106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,1.445
107,Ivory Coast,4.671,0.541,0.872,0.080,0.467,0.146,0.103,2.565
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2.121
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2.108
110,Laos,4.623,0.720,1.034,0.441,0.626,0.230,0.174,1.572
111,Tunisia,4.592,0.900,0.906,0.690,0.271,0.040,0.063,1.785
112,Albania,4.586,0.916,0.817,0.790,0.419,0.149,0.032,1.495
113,Sierra Leone,4.571,0.256,0.813,0.000,0.355,0.238,0.053,2.909
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,2.118
115,Bangladesh,4.500,0.532,0.850,0.579,0.580,0.153,0.144,1.806
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.050,0.675
117,Iraq,4.456,1.010,0.971,0.536,0.304,0.148,0.095,1.487
118,Mali,4.447,0.370,1.233,0.152,0.367,0.139,0.056,2.186
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,1.351
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,1.387
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2.272
122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,1.552
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2.407
124,Kenya,4.410,0.493,1.048,0.454,0.504,0.352,0.055,1.559
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,1.749
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.999
127,Ethiopia,4.350,0.308,0.950,0.391,0.452,0.220,0.146,2.029
128,Georgia,4.340,0.853,0.592,0.643,0.375,0.038,0.215,1.839
129,Armenia,4.321,0.816,0.990,0.666,0.260,0.077,0.028,1.512
130,Myanmar,4.308,0.682,1.174,0.429,0.580,0.598,0.178,0.845
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.060,2.613
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,2.327
133,India,4.190,0.721,0.747,0.485,0.539,0.172,0.093,1.526
134,Niger,4.166,0.131,0.867,0.221,0.390,0.175,0.099,2.382
135,Uganda,4.161,0.322,1.090,0.237,0.450,0.259,0.061,1.803
136,Benin,4.141,0.378,0.372,0.240,0.440,0.163,0.067,2.548
137,Sudan,4.139,0.605,1.240,0.312,0.016,0.134,0.082,1.832
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,0.938
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2.421
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2.038
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,1.503
142,Angola,3.795,0.730,1.125,0.269,0.000,0.079,0.061,1.592
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.826
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,1.455
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.232
146,Botswana,3.590,1.017,1.174,0.417,0.557,0.042,0.092,0.383
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.210,0.080,1.813
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.847
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.030,1.669
150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.388
151,Rwanda,3.408,0.332,0.896,0.400,0.636,0.200,0.444,0.944
152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,1.170
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.270,0.097,0.725
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.796
155,Central African Republic,3.083,0.024,0.000,0.010,0.305,0.218,0.038,2.526
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.828
